FlightID,RouteCode,Origin,Destination,FlightDate,FlightDurationMins,AircraftType,SeatsAvailable,SeatsSold,Revenue,OperationalCost
F0001,DEL-BLR,Delhi,Bengaluru,2026-07-12,157,Airbus A320,180,142,1353118,1034471
F0002,HYD-MAA,Hyderabad,Chennai,2026-08-07,153,Boeing 737,180,168,2069256,2194260
F0003,CCU-DEL,Kolkata,Delhi,2026-11-28,121,Boeing 787,220,112,666624,647811
F0004,MAA-BOM,Chennai,Mumbai,2026-02-09,137,ATR 72,72,40,534600,462526
F0005,BLR-HYD,Bengaluru,Hyderabad,2026-03-03,223,Boeing 737,290,168,2853648,2190394
F0006,MAA-BOM,Chennai,Mumbai,2026-10-05,111,Airbus A320,180,111,1038627,971430
F0007,BOM-SIN,Mumbai,Singapore,2026-11-10,117,Boeing 787,189,181,2856180,2741807
F0008,CCU-DEL,Kolkata,Delhi,2026-04-02,241,Airbus A321,220,103,428377,293453
F0009,BOM-SIN,Mumbai,Singapore,2026-12-19,167,Boeing 737,180,151,1098223,722814
F0010,HYD-MAA,Hyderabad,Chennai,2026-11-16,82,ATR 72,72,67,1091497,1043577
F0011,DEL-DXB,Delhi,Dubai,2026-01-18,221,ATR 72,72,38,625936,669522
F0012,DEL-BLR,Delhi,Bengaluru,2026-02-11,162,ATR 72,72,63,806337,794361
F0013,CCU-DEL,Kolkata,Delhi,2026-01-11,117,Boeing 737,189,181,854863,577719
F0014,CCU-DEL,Kolkata,Delhi,2026-12-14,166,Boeing 737,189,109,1389205,1257324
F0015,BLR-HYD,Bengaluru,Hyderabad,2026-11-03,259,ATR 72,72,53,507634,433211
F0016,DEL-BLR,Delhi,Bengaluru,2026-07-16,296,ATR 72,72,69,1227234,1112841
F0017,HYD-MAA,Hyderabad,Chennai,2026-09-03,163,Airbus A321,220,175,2307375,2161885
F0018,HYD-MAA,Hyderabad,Chennai,2026-01-05,138,Airbus A321,220,126,1879542,1540272
F0019,MAA-BOM,Chennai,Mumbai,2026-10-26,218,ATR 72,72,65,363025,312824
F0020,BLR-HYD,Bengaluru,Hyderabad,2026-11-05,63,Airbus A321,290,238,2038470,1883814
F0021,BOM-DEL,Mumbai,Delhi,2026-10-04,176,Boeing 737,290,266,3223654,3199000
F0022,MAA-BOM,Chennai,Mumbai,2026-12-04,101,Boeing 737,220,130,1210170,918456
F0023,BOM-SIN,Mumbai,Singapore,2026-02-25,208,Airbus A320,290,209,1390268,1423609
F0024,BOM-SIN,Mumbai,Singapore,2026-01-15,165,ATR 72,72,38,177042,187273
F0025,DEL-BLR,Delhi,Bengaluru,2026-04-21,292,Airbus A320,189,166,2905332,2494424
F0026,MAA-BOM,Chennai,Mumbai,2026-04-10,211,ATR 72,72,64,1100288,787018
F0027,MAA-BOM,Chennai,Mumbai,2026-11-03,126,Boeing 787,220,181,2585404,1881868
F0028,BOM-SIN,Mumbai,Singapore,2026-03-30,133,Airbus A321,220,200,2808600,2631795
F0029,DEL-BLR,Delhi,Bengaluru,2026-10-27,135,Airbus A320,180,151,2379458,1493946
F0030,DEL-DXB,Delhi,Dubai,2026-07-31,61,Boeing 737,290,258,2503374,2379950
F0031,MAA-BOM,Chennai,Mumbai,2026-04-10,115,Boeing 737,220,178,1414566,982013
F0032,DEL-DXB,Delhi,Dubai,2026-06-04,299,Boeing 737,189,159,2020413,2161489
F0033,DEL-DXB,Delhi,Dubai,2026-05-19,217,Boeing 787,180,128,1432192,1416668
F0034,BOM-SIN,Mumbai,Singapore,2026-02-01,94,Boeing 787,189,182,3045952,2981159
F0035,HYD-MAA,Hyderabad,Chennai,2026-05-17,207,ATR 72,72,44,312268,201140
F0036,MAA-BOM,Chennai,Mumbai,2026-02-10,200,Airbus A321,290,190,2964760,3017353
F0037,CCU-DEL,Kolkata,Delhi,2026-10-01,294,ATR 72,72,56,954408,672274
F0038,BOM-SIN,Mumbai,Singapore,2026-04-12,124,Airbus A321,180,130,1763710,1897664
F0039,HYD-MAA,Hyderabad,Chennai,2026-09-13,288,Airbus A320,189,142,1066704,1087781
F0040,CCU-DEL,Kolkata,Delhi,2026-05-29,93,Airbus A321,189,122,880108,893290
F0041,MAA-BOM,Chennai,Mumbai,2026-01-05,207,ATR 72,72,51,811155,746245
F0042,CCU-DEL,Kolkata,Delhi,2026-12-17,170,Airbus A321,180,112,1784944,1445239
F0043,DEL-BLR,Delhi,Bengaluru,2026-01-01,187,Airbus A321,290,201,1174845,858970
F0044,DEL-BLR,Delhi,Bengaluru,2026-06-12,91,ATR 72,72,69,474789,325550
F0045,BLR-HYD,Bengaluru,Hyderabad,2026-08-09,104,ATR 72,72,53,333158,333222
F0046,HYD-MAA,Hyderabad,Chennai,2026-10-19,244,Boeing 787,189,103,1042566,675192
F0047,DEL-BLR,Delhi,Bengaluru,2026-07-22,177,Airbus A320,189,89,781153,657004
F0048,BOM-SIN,Mumbai,Singapore,2026-05-27,285,Airbus A321,290,283,4831093,3976135
F0049,CCU-DEL,Kolkata,Delhi,2026-04-13,287,Boeing 737,290,156,729144,569982
F0050,BLR-HYD,Bengaluru,Hyderabad,2026-08-31,195,Boeing 787,180,116,1391304,1314525
F0051,DEL-DXB,Delhi,Dubai,2026-09-24,123,Airbus A321,189,137,1257797,1147003
F0052,MAA-BOM,Chennai,Mumbai,2026-02-04,76,ATR 72,72,36,154692,137412
F0053,BOM-SIN,Mumbai,Singapore,2026-12-01,259,Boeing 737,220,103,629124,619092
F0054,DEL-DXB,Delhi,Dubai,2026-07-07,185,ATR 72,72,72,1197504,1271360
F0055,BOM-SIN,Mumbai,Singapore,2026-03-23,157,Airbus A320,189,158,2553754,1703131
F0056,MAA-BOM,Chennai,Mumbai,2026-07-31,66,Airbus A320,290,161,2791418,1899988
F0057,BOM-SIN,Mumbai,Singapore,2026-03-27,215,Boeing 787,220,121,1616681,1039675
F0058,BOM-SIN,Mumbai,Singapore,2026-06-19,64,Airbus A320,189,148,1757204,1779121
F0059,CCU-DEL,Kolkata,Delhi,2026-05-05,152,Airbus A320,290,240,3384720,3699442
F0060,MAA-BOM,Chennai,Mumbai,2026-03-20,153,Airbus A321,290,177,2280291,1516248
F0061,HYD-MAA,Hyderabad,Chennai,2026-01-09,273,Airbus A321,189,161,2585016,1893685
F0062,HYD-MAA,Hyderabad,Chennai,2026-06-09,88,Boeing 737,189,131,600635,607454
F0063,BOM-SIN,Mumbai,Singapore,2026-05-26,208,Airbus A321,180,142,2251410,2290995
F0064,MAA-BOM,Chennai,Mumbai,2026-11-03,209,Boeing 787,189,98,1452066,1524832
F0065,BOM-SIN,Mumbai,Singapore,2026-02-13,276,Airbus A321,189,142,1006638,720889
F0066,BLR-HYD,Bengaluru,Hyderabad,2026-08-07,300,Airbus A321,290,270,4045140,3207915
F0067,BLR-HYD,Bengaluru,Hyderabad,2026-07-25,282,Boeing 787,180,154,1105874,1078182
F0068,CCU-DEL,Kolkata,Delhi,2026-07-05,149,ATR 72,72,66,1021350,977781
F0069,CCU-DEL,Kolkata,Delhi,2026-03-08,284,Airbus A321,220,205,2207440,1722425
F0070,CCU-DEL,Kolkata,Delhi,2026-04-15,122,ATR 72,72,68,774588,467434
F0071,DEL-BLR,Delhi,Bengaluru,2026-09-13,151,Boeing 737,290,203,2413873,2588258
F0072,CCU-DEL,Kolkata,Delhi,2026-09-05,128,Airbus A320,290,262,1880898,1748389
F0073,CCU-DEL,Kolkata,Delhi,2026-05-08,223,Airbus A321,180,125,1811625,1304041
F0074,HYD-MAA,Hyderabad,Chennai,2026-06-20,275,ATR 72,72,67,303175,311843
F0075,MAA-BOM,Chennai,Mumbai,2026-12-01,189,Boeing 737,189,104,1675960,1676000
F0076,BOM-DEL,Mumbai,Delhi,2026-11-18,78,Boeing 787,180,169,2376309,1498515
F0077,MAA-BOM,Chennai,Mumbai,2026-09-14,267,Airbus A320,189,93,1581465,1706114
F0078,CCU-DEL,Kolkata,Delhi,2026-04-20,135,Airbus A320,180,106,795000,765608
F0079,BOM-DEL,Mumbai,Delhi,2026-11-04,142,Boeing 737,180,92,1300420,1327271
F0080,BOM-SIN,Mumbai,Singapore,2026-07-14,172,Boeing 787,189,178,2700616,1971007
F0081,CCU-DEL,Kolkata,Delhi,2026-08-25,272,ATR 72,72,65,576810,461021
F0082,MAA-BOM,Chennai,Mumbai,2026-09-26,111,Boeing 737,189,167,874746,603830
F0083,BOM-SIN,Mumbai,Singapore,2026-01-13,89,Boeing 787,180,170,2311490,2369434
F0084,BOM-SIN,Mumbai,Singapore,2026-01-20,221,Boeing 737,290,274,3056744,3185797
F0085,BOM-DEL,Mumbai,Delhi,2026-03-19,283,ATR 72,72,41,419430,408443
F0086,BLR-HYD,Bengaluru,Hyderabad,2026-11-18,217,Airbus A321,220,196,1822800,1552241
F0087,DEL-BLR,Delhi,Bengaluru,2026-04-08,201,Airbus A320,189,163,2519491,1654525
F0088,BOM-SIN,Mumbai,Singapore,2026-11-25,237,ATR 72,72,71,615073,545476
F0089,BOM-SIN,Mumbai,Singapore,2026-10-04,185,Airbus A321,220,133,1479758,914834
F0090,BOM-SIN,Mumbai,Singapore,2026-06-12,272,Airbus A320,189,93,1236621,1240607
F0091,CCU-DEL,Kolkata,Delhi,2026-07-27,177,Airbus A320,290,226,1383120,988131
F0092,BOM-DEL,Mumbai,Delhi,2026-07-17,252,Boeing 787,290,254,2225294,2149386
F0093,BOM-SIN,Mumbai,Singapore,2026-11-24,109,Airbus A321,189,131,641245,616886
F0094,DEL-BLR,Delhi,Bengaluru,2026-08-10,102,Airbus A321,290,172,1041976,762741
F0095,DEL-DXB,Delhi,Dubai,2026-10-08,112,Boeing 737,290,243,3564810,2851329
F0096,CCU-DEL,Kolkata,Delhi,2026-09-05,162,ATR 72,72,43,583854,356128
F0097,MAA-BOM,Chennai,Mumbai,2026-07-01,203,Boeing 737,189,87,1150314,752510
